금융회사 명,금융 상품명,가입 방법,대출종류명,CB 회사명,금리구분,900점 초과,801~900점,701~800점,601~700점,501~600점,401~500점,301~400점,300점 이하,평균 금리
우리은행,개인신용대출 우대고객,"영업점,인터넷,스마트폰",일반신용대출,KCB,대출금리,5.41,6.18,7.51,8.46,9.5,11.5,9.35,8.97,5.71
우리은행,개인신용대출 퍼펙트,"영업점,인터넷,스마트폰",일반신용대출,NICE,대출금리,5.71,6.09,6.59,7.03,6.52,4.64,,12,5.76
한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",일반신용대출,KCB,대출금리,5.84,7.4,8.54,9.09,,,,,6.65
한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",마이너스한도대출,KCB,대출금리,7.36,8.68,9.13,9.85,,,,,7.47
한국스탠다드차타드은행,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",장기카드대출(카드론),KCB,대출금리,9.95,11.67,13.1,15.2,16.42,,,,13.24
한국씨티은행,장기카드대출,"스마트폰,전화(텔레뱅킹)",장기카드대출(카드론),KCB,대출금리,8.57,12.6,12.65,15.16,17.7,,,,13.09
대구은행,일반신용대출,"영업점,스마트폰",일반신용대출,KCB,대출금리,6.6,8.27,9.69,10.72,11.3,11.51,,9.48,9.18
대구은행,마이너스한도대출,"영업점,스마트폰",마이너스한도대출,KCB,대출금리,6.15,6.86,7.95,8.5,11.07,13.6,,,6.73
대구은행,장기카드대출,"인터넷,스마트폰,모집인",장기카드대출(카드론),NICE,대출금리,9.81,12.23,14.93,14.89,,,,,12.54
부산은행,ONE신용대출,"영업점,스마트폰",일반신용대출,KCB,대출금리,6.46,7.12,7.43,7.57,,,,,6.8
부산은행,ONE신용대출,"영업점,스마트폰",마이너스한도대출,KCB,가감조정금리,.61,.01,,,,,,,.49
부산은행,장기카드대출,기타,장기카드대출(카드론),NICE,대출금리,11.15,12.1,13.5,13.39,,,,,12.33
광주은행,일반신용대출,"영업점,스마트폰",일반신용대출,KCB,대출금리,6.79,8.17,9.42,10.19,11.02,10.94,,,8.14
광주은행,마이너스한도대출,"영업점,스마트폰",마이너스한도대출,KCB,가감조정금리,.57,.56,.22,,,,,,.55
광주은행,장기카드대출,"영업점,인터넷,스마트폰,기타",장기카드대출(카드론),KCB,대출금리,11.92,13.25,15.24,17.27,18.76,,,,14.89
제주은행,개인신용대출,"영업점,인터넷,스마트폰",일반신용대출,NICE,대출금리,6.35,6.51,7.58,9.69,,18.46,,,7.59
제주은행,개인신용대출2,"영업점,인터넷,스마트폰",마이너스한도대출,NICE,가감조정금리,.69,.67,.51,,,,,,.67
전북은행,가계일반자금대출,"영업점,스마트폰,모집인",일반신용대출,KCB,대출금리,8.36,10.3,12.02,12.54,11.24,10.5,,15,11.25
전북은행,평생종합통장,"영업점,모집인",마이너스한도대출,KCB,가감조정금리,1.42,1.24,1.89,.79,,,,,1.44
전북은행,장기카드대출,"영업점,인터넷,스마트폰,기타",장기카드대출(카드론),NICE,대출금리,,,16.69,18.65,,,,,16.93
